Deciles,prob,prob,actual,actual,actual
9,0.9868161065208366,0.6297802240664234,37.0,12.0,49
8,0.6256575682958461,0.49228881722914897,29.0,20.0,49
7,0.49182133931609795,0.3966597519176425,18.0,31.0,49
6,0.39606983087829284,0.28937245551392715,19.0,30.0,49
5,0.2884219297940799,0.21503403837712778,15.0,34.0,49
4,0.2115145290142649,0.14443467653347034,6.0,43.0,49
3,0.14375843913470568,0.0840382409438561,5.0,44.0,49
2,0.08371992283001733,0.040619350627104374,3.0,46.0,49
1,0.04058769415917989,0.01353460906899474,2.0,47.0,49
0,0.012572195145713979,0.0013485291073314263,0.0,49.0,49
