Deciles,prob,prob,actual,actual,actual
9,0.8552983284491317,0.4029297951149523,355,485,840
8,0.40291812992594195,0.26941636013615794,406,433,839
7,0.2693501180669051,0.1914990467252724,266,573,839
6,0.19130408655839132,0.1396372783247769,135,704,839
5,0.13945939064116844,0.104681795329636,95,744,839
4,0.10467400929911166,0.07663882748056575,61,779,840
3,0.07660670078996043,0.055147054574494585,29,810,839
2,0.055121995996169335,0.03699857825450521,18,821,839
1,0.03697440469988345,0.020941753891807437,18,821,839
0,0.020935741622890816,0.0007370167619951216,5,835,840
